cities,threads,optimal,trial_1,trial_2,trial_3,trial_4,trial_5
4,1,28,0.010,0.009,0.006,0.007,0.006
4,2,28,0.007,0.006,0.006,0.006,0.006
4,3,28,0.008,0.009,0.009,0.007,0.007
4,4,28,0.007,0.006,0.006,0.006,0.007
8,1,63,0.006,0.006,0.006,0.005,0.006
8,2,63,0.007,0.007,0.010,0.007,0.007
8,3,63,0.008,0.013,0.011,0.007,0.007
8,4,63,0.008,0.007,0.007,0.007,0.007
12,1,53,0.096,0.095,0.098,0.098,0.098
12,2,53,0.053,0.053,0.053,0.054,0.054
12,3,53,0.039,0.037,0.037,0.039,0.037
12,4,53,0.030,0.030,0.030,0.033,0.031
